Job esco,Skill esco,Secteur1,Secteur2,Secteur3,Secteur4,Secteur5
ICT business development manager,"analyse business requirements
collect customer feedback on applications
give live presentation
identify new business opportunities
innovate in ICT
interpret current data
monitor technology trends
perform business analysis
perform market research
seek innovation in current practices",Professionals,Business and administration professionals,"Sales, marketing and public relations professionals",Information and communications technology sales professionals,ICT business development manager
ICT network administrator,"adjust ICT system capacity
analyse network bandwidth requirements
apply ICT system usage policies
define firewall rules
design computer network
forecast future ICT network needs
implement ICT network diagnostic tools
implement ICT security policies
implement a firewall
implement a virtual private network
implement anti-virus software
install electronic communication equipment
integrate system components
interpret technical texts
maintain internet protocol configuration
manage ICT virtualisation environments
manage email hosting service
perform backups
use back-up and recovery tools",Professionals,Information and communications technology professionals,Database and network professionals,Systems administrators,ICT system administrator
ICT security technician,"address problems critically
analyse ICT system
communicate with stakeholders
engage with stakeholders
ensure proper document management
establish an ICT security prevention plan
estimate duration of work
execute software tests
identify ICT security risks
identify ICT system weaknesses
implement ICT risk management
integrate system components
manage alarm system
manage closed-circuit television system
manage system security
protect ICT devices
set up cybersecurity training programmes
solve ICT system problems
use access control software",Technicians and associate professionals,Information and communications technicians,Information and communications technology operations and user support technicians,Information and communications technology user support technicians,ICT security technician
computer hardware repair technician,"apply company policies
assemble hardware components
create solutions to problems
demonstrate use of hardware
implement a virtual private network
maintain customer service
maintain equipment
maintain records of maintenance interventions
perform maintenance on installed equipment
perform test run
provide customer follow-up services
provide customer information related to repairs
repair equipment on site
replace defect components
test computer hardware
use ICT hardware
use repair manuals",Craft and related trades workers,Electrical and electronic trades workers,Electronics and telecommunications installers and repairers,Information and communications technology installers and servicers,computer hardware repair technician
ICT account manager,"apply company policies
develop account strategy
guarantee customer satisfaction
identify new business opportunities
implement customer follow-up
implement marketing strategies
implement sales strategies
keep records on sales
maintain relationship with customers
manage contracts
maximise sales revenues
perform customers’ needs analysis
perform data analysis
produce sales reports
use customer relationship management software",Professionals,Business and administration professionals,"Sales, marketing and public relations professionals",Information and communications technology sales professionals,ICT account manager
process engineer,"analyse production processes for improvement
apply advanced manufacturing
define technical requirements
interpret technical requirements
manage engineering project
perform scientific research
troubleshoot
use technical drawing software",Professionals,Science and engineering professionals,Engineering professionals (excluding electrotechnology),Industrial and production engineers,process engineer
ICT security administrator,"apply company policies
attend to ICT systems quality
ensure proper document management
identify ICT system weaknesses
interpret technical texts
maintain ICT identity management
maintain database security
manage ICT data architecture
manage IT security compliances
perform ICT troubleshooting
solve ICT system problems",Professionals,Information and communications technology professionals,Database and network professionals,Database and network professionals not elsewhere classified,ICT security administrator
call centre quality auditor,"analyse call performance trends
assess employees' capability levels
give constructive feedback
guarantee customer satisfaction
maintain high quality of calls
measure call quality
measure customer feedback
present reports
provide feedback on job performance
provide feedback to performers
provide objective assessments of calls
report call errors
train staff on call quality assurance
write inspection reports",Technicians and associate professionals,Business and administration associate professionals,Administrative and specialised secretaries,Office supervisors,call centre quality auditor
business lecturer,"apply blended learning
apply intercultural teaching strategies
apply teaching strategies
assess students
communicate with a non-scientific audience
compile course material
demonstrate when teaching
develop course outline
give constructive feedback
guarantee students' safety
interact professionally in research and professional environments
liaise with educational staff
liaise with educational support staff
manage personal professional development
mentor individuals
monitor developments in field of expertise
perform classroom management
prepare lesson content
promote the participation of citizens in scientific and research activities
synthesise information
teach business principles
teach in academic or vocational contexts
think abstractly
write work-related reports",Professionals,Teaching professionals,University and higher education teachers,University and higher education teachers,higher education lecturer
test engineer,"adjust engineering designs
analyse scientific data
analyse test data
approve engineering design
demonstrate disciplinary expertise
interact professionally in research and professional environments
manage personal professional development
manage research data
operate open source software
perform project management
synthesise information
test hardware
think abstractly
use technical drawing software",Professionals,Science and engineering professionals,Engineering professionals (excluding electrotechnology),Engineering professionals not elsewhere classified,test engineer
IT auditor,"analyse ICT system
develop audit plan
ensure adherence to organisational ICT standards
execute ICT audits
improve business processes
perform ICT security testing
perform quality audits
prepare financial auditing reports",Professionals,Information and communications technology professionals,Software and applications developers and analysts,Systems analysts,IT auditor
enterprise architect,"align software with system architectures
apply ICT system usage policies
collect customer feedback on applications
define software architecture
design enterprise architecture
design information system
execute feasibility study
identify processes for re-engineering
implement ICT security policies
keep up with the latest information systems solutions
manage ICT data architecture
perform project management
perform risk analysis
provide ICT consulting advice
review development process of an organisation
use an application-specific interface",Professionals,Information and communications technology professionals,Software and applications developers and analysts,Systems analysts,enterprise architect
music instructor,"adapt teaching to student's capabilities
apply intercultural teaching strategies
apply teaching strategies
assess students
compile course material
demonstrate a technical foundation in musical instruments
demonstrate when teaching
develop course outline
give constructive feedback
guarantee students' safety
liaise with educational support staff
maintain safe working conditions in performing arts
manage student relationships
monitor developments in field of expertise
play musical instruments
prepare lesson content
read musical score
teach music principles",Professionals,Teaching professionals,University and higher education teachers,University and higher education teachers,higher education lecturer
pump operator,"coordinate fire fighting
ensure public safety and security
extinguish fires
maintain hydraulic systems
manage emergency care situations
manage major incidents
operate fire extinguishers
operate hydraulic machinery controls
operate hydraulic pumps
operate pumps for fire extinguishing
perform preventive maintenance on fire fighting vehicles
use different types of fire extinguishers
work as a team in a hazardous environment",Service and sales workers,Protective services workers,Protective services workers,Fire-fighters,firefighter
vehicle maintenance supervisor,"apply health and safety standards
drive vehicles
ensure compliance with warranty contracts
follow procedures to control substances hazardous to health
guarantee customer satisfaction
identify vehicles service requirements
maintain records of financial transactions
manage claims process
manage staff
managing a business with great care
monitor vehicle maintenance activities
monitor vehicle repairs
order supplies for vehicle maintenance and repair
plan employees work in vehicle maintenance
provide customer follow-up services
provide customer information related to repairs",Craft and related trades workers,"Metal, machinery and related trades workers",Machinery mechanics and repairers,Motor vehicle mechanics and repairers,vehicle maintenance supervisor
relationship banking manager,"advise on financial matters
advise on investment
apply technical communication skills
consult credit score
create a financial plan
enforce financial policies
follow company standards
identify customer's needs
liaise with managers
maintain relationship with customers
obtain financial information
offer financial services
prospect new customers
provide cost benefit analysis reports
provide financial product information
strive for company growth",Professionals,Business and administration professionals,Finance professionals,Financial and investment advisers,financial planner
hotel concierge,"assist at check-in
assist clients with special needs
comply with food safety and hygiene
greet guests
handle customer complaints
identify customer's needs
maintain customer service
maintain relationship with customers
provide tourism related information",Clerical support workers,Customer services clerks,Client information workers,Client information workers not elsewhere classified,hotel concierge
public relations manager,"advise on public image
advise on public relations
analyse external factors of companies
build community relations
conduct public presentations
develop communications strategies
develop media strategy
develop public relations strategies
draft press releases
establish relationship with the media
give interviews to media
integrate strategic foundation in daily performance
liaise with local authorities
organise press conferences
perform public relations
prepare presentation material
protect client interests
use different communication channels",Managers,Administrative and commercial managers,"Sales, marketing and development managers",Advertising and public relations managers,communication manager
funeral attendant,"greet guests
maintain customer service
maintain personal hygiene standards
manage funeral equipment
promote human rights
provide directions to guests
show diplomacy
transfer coffins",Service and sales workers,Personal service workers,Other personal services workers,Undertakers and embalmers,funeral attendant
nurse assistant,"accept own accountability
address problems critically
advise on healthcare users' informed consent
apply nursing care in long-term care
apply person-centred care
apply sustainability principles in health care
communicate in healthcare
communicate with nursing staff
comply with legislation related to health care
comply with quality standards related to healthcare practice
contribute to continuity of health care
empathise with the healthcare user
ensure safety of healthcare users
follow clinical guidelines
identify abnormalities
implement fundamentals of nursing
implement nursing care
interact with healthcare users
listen actively
monitor basic patients signs
plan nursing care
promote inclusion
provide basic support to patients
provide professional care in nursing
respond to changing situations in health care
solve problems in healthcare
support nurses
work in multidisciplinary health teams
work with nursing staff",Service and sales workers,Personal care workers,Personal care workers in health services,Health care assistants,healthcare assistant
kitchen assistant,"carry out stock rotation
clean kitchen equipment
clean surfaces
comply with food safety and hygiene
comply with standard portion sizes
design indicators for food waste reduction
ensure cleanliness of food preparation area
handle chemical cleaning agents
handover the food preparation area
maintain a safe, hygienic and secure working environment
maintain customer service
manage waste
monitor kitchen supplies
monitor stock level
receive kitchen supplies
store kitchen supplies
use food cutting tools
use food preparation techniques
work according to recipe
work in a hospitality team",Elementary occupations,Food preparation assistants,Food preparation assistants,Kitchen helpers,kitchen assistant
head chef,"assist customers
compile cooking recipes
comply with food safety and hygiene
control of expenses
develop food waste reduction strategies
ensure maintenance of kitchen equipment
estimate costs of required supplies
handle customer complaints
handover the food preparation area
keep up with eating out trends
maintain a safe, hygienic and secure working environment
manage budgets
manage hospitality revenue
manage staff
manage stock rotation
monitor the use of kitchen equipment
perform procurement processes
plan menus
plan shifts of employees
recruit employees
set prices of menu items
supervise food quality
train employees
train staff to reduce food waste
use cooking techniques
use culinary finishing techniques
use food preparation techniques
use reheating techniques
use resource-efficient technologies in hospitality",Technicians and associate professionals,"Legal, social, cultural and related associate professionals","Artistic, cultural and culinary associate professionals",Chefs,chef
calculation engineer,"apply numeracy skills
check durability of materials
check stability of materials
check strength of materials
create a product's virtual model
inspect quality of products
operate precision measuring equipment
record test data
run simulations",Professionals,Science and engineering professionals,Engineering professionals (excluding electrotechnology),Engineering professionals not elsewhere classified,application engineer
customs and excise officer,"calculate tax
control trade commercial documentation
coordinate import transportation activities
handle surveillance equipment
manage import export licenses
undertake inspections",Technicians and associate professionals,Business and administration associate professionals,Business services agents,Clearing and forwarding agents,customs and excise officer
move coordinator,"analyse requirements for moving goods
design procedures for the relocation of specific goods
determine cargo loading sequence
ensure correct goods labelling
handle delivery of furniture goods
maintain inventory of tools
prepare resources for loading activities
select equipment required for moving activities
use communication devices",Clerical support workers,Numerical and material recording clerks,Material-recording and transport clerks,Transport clerks,move coordinator
admissions coordinator,"assess students
assist students with their enrolment
identify education needs
manage student admissions
provide education management support
provide information on education financing
provide information on school services",Professionals,Teaching professionals,Other teaching professionals,Teaching professionals not elsewhere classified,admissions coordinator
stage manager,"adapt artistic plan to location
adapt to artists' creative demands
analyse a script
analyse music score
analyse the artistic concept based on stage actions
analyse the scenography
coordinate pre-show checks
coordinate the running of a performance
cue a performance
determine context to present the work
develop drama production process
follow safety procedures when working at heights
identify technical resources for performances
interpret artistic intentions
intervene with actions on stage
negotiate health and safety issues with third parties
organise stage
prevent fire in a performance environment
promote health and safety
react to emergency situations in a live performance environment
safeguard artistic quality of performance
support a designer in the developing process
translate artistic concepts to technical designs
understand artistic concepts
use communication equipment
use personal protection equipment
use technical documentation
work ergonomically
work safely with mobile electrical systems under supervision
work with respect for own safety
write risk assessment on performing arts production",Technicians and associate professionals,"Legal, social, cultural and related associate professionals","Artistic, cultural and culinary associate professionals",Other artistic and cultural associate professionals,stage manager
dressmaker,"alter wearing apparel
cut fabrics
distinguish accessories
distinguish fabrics
draw sketches to develop textile articles using softwares
keep up to date on costume design
make made-to-measure garments
make technical drawings of fashion pieces
manage briefs for clothing manufacturing
manufacture wearing apparel products
measure the human body for wearing apparel
sew pieces of fabric
use textile technique for hand-made products",Craft and related trades workers,"Food processing, wood working, garment and other craft and related trades workers",Garment and related trades workers,"Tailors, dressmakers, furriers and hatters",dressmaker
department store manager,"build business relationships
create solutions to problems
have computer literacy
implement marketing strategies
implement sales strategies
manage budgets
manage staff
manage the store image
monitor proper product handling
monitor shelves loading
perform multiple tasks at the same time
plan marketing campaigns
plan marketing strategy
provide customer follow-up services
set sales promotions
train employees",Managers,"Hospitality, retail and other services managers",Retail and wholesale trade managers,Retail and wholesale trade managers,department store manager
security manager,"ensure equipment availability
ensure equipment maintenance
establish daily priorities
establish site security routines
follow company standards
handle surveillance equipment
investigate security issues
lead disaster recovery exercises
liaise with managers
maintain incident reporting records
manage budgets
manage disaster recovery plans
manage logistics
manage security equipment
manage staff
manage supplies
manage the security team
oversee planning of security systems
strive for company growth
supervise daily information operations
write security reports",Managers,Administrative and commercial managers,Business services and administration managers,Business services and administration managers not elsewhere classified,business service manager
food production manager,"analyse production processes for improvement
analyse trends in the food and beverage industries
apply GMP
apply HACCP
apply control process statistical methods
apply requirements concerning manufacturing of food and beverages
communicate production plan
control of expenses
design indicators for food waste reduction
develop food waste reduction strategies
ensure cost efficiency in food manufacturing
identify hazards in the workplace
implement short term objectives
interpret data in food manufacturing
keep up with innovations in food manufacturing
maintain relationship with customers
manage corrective actions
manage resources in food manufacturing
oversee production requirements
plan food plant production activities
plan shifts of employees
set production KPI
set quality assurance objectives
supervise employees in food production plants
train staff to reduce food waste
use resource-efficient technologies in hospitality",Managers,Production and specialised services managers,"Manufacturing, mining, construction, and distribution managers",Manufacturing managers,manufacturing manager
employment agent,"apply knowledge of human behaviour
communicate by telephone
develop professional network
document interviews
ensure gender equality in the workplace
hire human resources
interview people
listen actively
maintain privacy of service users
observe confidentiality
profile people
promote gender equality in business contexts
recruit employees
support employability of people with disabilities",Technicians and associate professionals,Business and administration associate professionals,Business services agents,Employment agents and contractors,employment agent
quality services manager,"adhere to organisational guidelines
analyse test data
create solutions to problems
define quality standards
follow company standards
improve business processes
liaise with managers
oversee stock quality control
perform quality audits
strive for company growth
train staff in quality procedures",Managers,Administrative and commercial managers,Business services and administration managers,Business services and administration managers not elsewhere classified,quality services manager
crop production worker,"cultivate crops for biomass
drive agricultural machines
execute disease and pest control activities
execute fertilisation
grow plants
harvest crop
maintain storage facilities
manage crop rotation
monitor fields
operate agricultural machinery
prepare equipment for harvest
prepare planting area
propagate plants
store crops
store products",Elementary occupations,"Agricultural, forestry and fishery labourers","Agricultural, forestry and fishery labourers",Mixed crop and livestock farm labourers,crop production worker
accommodation manager,"assist at check-in
build business relationships
create annual marketing budget
create solutions to problems
develop inclusive communication material
develop strategies for accessibility
ensure infrastructure accessibility
ensure price competitiveness
handle financial transactions
implement marketing strategies
implement sales strategies
maintain customer service
manage budgets
manage different departments in a hospitality establishment
manage health and safety standards
manage hospitality revenue
manage staff
monitor company policy
monitor financial accounts",Managers,"Hospitality, retail and other services managers",Hotel and restaurant managers,Hotel managers,accommodation manager
curriculum administrator,"advise on lesson plans
advise on teaching methods
analyse curriculum
analyse the training market
cooperate with education professionals
develop learning curriculum
ensure curriculum adherence
evaluate education programmes
identify education needs
maintain relationships with government agencies
monitor curriculum implementation
monitor educational developments",Professionals,Teaching professionals,Other teaching professionals,Education methods specialists,curriculum administrator
foundry manager,"deal with pressure from unexpected circumstances
ensure compliance with environmental legislation
follow company standards
forecast organisational risks
improve business processes
manage commercial risks
optimise financial performance",Managers,Administrative and commercial managers,Business services and administration managers,Business services and administration managers not elsewhere classified,manufacturing facility manager
private chauffeur,"assist passengers
communicate with customers
control the performance of the vehicle
drive in urban areas
drive vehicles
ensure vehicle operability
focus on passengers
follow verbal instructions
interpret traffic signals
lift heavy weights
maintain personal hygiene standards
maintain vehicle appearance
operate GPS systems
park vehicles
perform defensive driving
provide private transport services
read maps
tolerate sitting for long periods
work in shifts",Plant and machine operators and assemblers,Drivers and mobile plant operators,"Car, van and motorcycle drivers","Car, taxi and van drivers",private chauffeur
operations manager,"ensure equipment availability
ensure equipment maintenance
establish daily priorities
evaluate employees
follow company standards
liaise with managers
manage budgets
manage logistics
manage staff
manage supplies
strive for company growth
supervise daily information operations",Managers,Production and specialised services managers,"Manufacturing, mining, construction, and distribution managers",Manufacturing managers,manufacturing manager
information manager,"analyse information systems
assess informational needs
cooperate to resolve information issues
design information system
develop information standards
develop organisational information goals
develop solutions to information issues
evaluate project plans
manage data
manage digital libraries
manage information access aids
perform customer management
perform data mining
recruit employees",Professionals,"Legal, social and cultural professionals","Librarians, archivists and curators",Librarians and related information professionals,information manager
farm manager,"assess new farming technologies
assign duties to agriculture workers
manage crop rotation
manage farm products
manage farm supplies
manage production enterprise
market farm products
negotiate loan agreements
operate farm equipment
present the farm facilities
supervise hygiene procedures in agricultural settings","Skilled agricultural, forestry and fishery workers",Market-oriented skilled agricultural workers,Mixed crop and animal producers,Mixed crop and animal producers,farm manager
cyber incident responder,"collect cyber defence data
communicate with stakeholders
cope with stress
create incident reports
engage with stakeholders
handle cybersecurity incidents
protect ICT devices
provide ICT consulting advice",Professionals,Information and communications technology professionals,Database and network professionals,Database and network professionals not elsewhere classified,cyber incident responder
payroll clerk,"calculate wages
carry out financial transactions
check payrolls
examine budgets
manage payroll
prepare paychecks
procure time sheet approval
trace financial transactions",Clerical support workers,Numerical and material recording clerks,Numerical clerks,Payroll clerks,payroll clerk
recruitment consultant,"communicate by telephone
develop professional network
document interviews
ensure gender equality in the workplace
fix meetings
hire human resources
identify customer's needs
interview people
listen actively
maintain privacy of service users
maintain relationship with customers
observe confidentiality
prepare for job interview
profile people
recruit employees
support employability of people with disabilities
use communication techniques",Professionals,Business and administration professionals,Administration professionals,Personnel and careers professionals,recruitment consultant
customer experience manager,"analyse business plans
analyse data about clients
comply with food safety and hygiene
design customer experiences
develop strategies for accessibility
ensure cross-department cooperation
ensure information privacy
handle customer complaints
identify stress points of customer interaction
improve business processes
maintain customer records
maintain customer service
manage the customer experience
measure customer feedback
monitor customer behaviour
monitor work for special events
plan medium to long term objectives
provide improvement strategies
use e-tourism platforms",Professionals,Business and administration professionals,"Sales, marketing and public relations professionals",Advertising and marketing professionals,customer experience manager
agricultural machinery and equipment distribution manager,"adhere to organisational guidelines
analyse supply chain trends
carry out inventory control accuracy
carry out statistical forecasts
communicate with shipment forwarders
create solutions to problems
develop financial statistics reports
ensure customs compliance
ensure regulatory compliance concerning distribution activities
handle carriers
have computer literacy
implement strategic planning
manage financial risk
manage freight payment methods
manage staff
minimise shipping cost
perform financial risk management in international trade
perform multiple tasks at the same time
perform risk analysis
plan transport operations
track shipments
track shipping sites",Managers,Production and specialised services managers,"Manufacturing, mining, construction, and distribution managers","Supply, distribution and related managers",logistics and distribution manager
livestock worker,"assist animal birth
breed rabbits
breed stock
control livestock disease
maintain farm equipment
maintain pastures
maintain the farm
manage the health and welfare of livestock
operate agricultural machinery
perform farm equipment hygiene
recycle livestock manure",Elementary occupations,"Agricultural, forestry and fishery labourers","Agricultural, forestry and fishery labourers",Livestock farm labourers,livestock worker
purchase planner,"apply numeracy skills
assess supplier risks
ensure compliance with purchasing and contracting regulations
have computer literacy
identify new business opportunities
identify suppliers
maintain relationship with suppliers
manage purchasing cycle
negotiate buying conditions
perform market research
perform multiple tasks at the same time
perform procurement processes
prepare purchasing reportings
track price trends
visit suppliers",Technicians and associate professionals,Business and administration associate professionals,Sales and purchasing agents and brokers,Buyers,purchaser
asset manager,"advise on financial matters
advise on risk management
analyse financial performance of a company
analyse financial risk
analyse market financial trends
develop investment portfolio
enforce financial policies
examine credit ratings
follow company standards
handle financial transactions
liaise with managers
manage financial risk
perform asset recognition
review investment portfolios
strive for company growth",Technicians and associate professionals,Business and administration associate professionals,Financial and mathematical associate professionals,Securities and finance dealers and brokers,asset manager
insurance broker,"advise on financial matters
analyse insurance needs
apply technical communication skills
calculate insurance rate
compare insurance products
create insurance policies
handle financial transactions
inform on insurance products
prospect new customers
protect client interests
sell insurance",Technicians and associate professionals,Business and administration associate professionals,Sales and purchasing agents and brokers,Insurance representatives,insurance broker
credit manager,"advise on financial matters
analyse financial performance of a company
analyse financial risk
analyse the credit history of potential customers
apply credit risk policy
create a financial plan
create credit policy
determine loan conditions
enforce financial policies
follow company standards
handle financial transactions
liaise with managers
maintain records of financial transactions
manage financial risk
manage staff
obtain financial information
strive for company growth
synthesise financial information
trace financial transactions",Technicians and associate professionals,Business and administration associate professionals,Financial and mathematical associate professionals,Credit and loans officers,credit manager
mediator,"advise on conflict management
advise on legal services
apply conflict management
apply knowledge of human behaviour
draft the rules of the mediation service
exercise neutrality in mediation cases
facilitate official agreement
interpret law
listen to the stories of the disputants
negotiate in legal cases
observe confidentiality
promote communication between parties",Professionals,"Legal, social and cultural professionals",Legal professionals,Legal professionals not elsewhere classified,mediator
livestock advisor,"advise on livestock productivity
comply with agricultural code of practice
estimate costs in farm
make decisions regarding livestock management
manage livestock
research livestock production
supervise hygiene procedures in agricultural settings
use agricultural information systems and databases
use different communication channels",Professionals,Science and engineering professionals,Life science professionals,"Farming, forestry and fisheries advisers",livestock advisor
logistics analyst,"analyse relation between supply chain improvement and profit
analyse supply chain strategies
analyse supply chain trends
analyse transport business networks
apply change management
consider economic criteria in decision making
create freight rate databases
detect bottlenecks
develop efficiency plans for logistics operations
direct logistical functions
enhance production workflow
identify process improvements
liaise with logistics management teams
maintain logistics databases
manage logistics pricing systems
mitigate waste of resources
perform system analysis
review distribution management procedures
support development of annual budget
use methods of logistical data analysis
use specific data analysis software
use spreadsheets software",Professionals,Business and administration professionals,Administration professionals,Management and organisation analysts,logistics analyst
agricultural inspector,"analyse business processes
collect samples for analysis
communicate health and safety measures
conduct environmental surveys
enforce sanitation procedures
ensure compliance with legal requirements
follow up complaint reports
identify hazards in the workplace
monitor work site
perform inspection analysis
undertake inspections
write work-related reports",Technicians and associate professionals,Business and administration associate professionals,Regulatory government associate professionals,Regulatory government associate professionals not elsewhere classified,agricultural inspector
webmaster,"apply ICT system usage policies
apply tools for content development
develop digital content
implement front-end website design
maintain ICT server
maintain responsive design
study website behaviour patterns
troubleshoot website
use ICT ticketing system
use markup languages
use scripting programming
use software libraries",Technicians and associate professionals,Information and communications technicians,Information and communications technology operations and user support technicians,Web technicians,webmaster
desktop publisher,"adapt to artists' creative demands
adapt to type of media
align content with form
apply desktop publishing techniques
develop digital content
finish project within budget
follow a brief
follow work schedule
search databases
translate requirements into visual design",Professionals,Science and engineering professionals,"Architects, planners, surveyors and designers",Graphic and multimedia designers,desktop publisher
groundsman/groundswoman,"construct greens and grounds
estimate consumption of water
execute disease and pest control activities
handling chemical products for soil and plants
maintain irrigation systems
maintain landscape site
maintain turf and grass
maintain turf management equipment
monitor water quality
operate turf management equipment
perform pest control
perform weed control operations
plan sports areas
prepare building site
prepare site for construction
prepare sites for planting of grass
prepare the ground
spray pesticides
transport physical resources within the work area
use gardening equipment","Skilled agricultural, forestry and fishery workers",Market-oriented skilled agricultural workers,Market gardeners and crop growers,"Gardeners, horticultural and nursery growers",groundsman/groundswoman
landscape gardener,"build fences
de-limb trees
execute disease and pest control activities
grow plants
handling chemical products for soil and plants
maintain ground
maintain landscape site
nurse plants
nurse trees
operate landscaping equipment
perform pest control
perform weed control operations
plant green plants
prepare planting area
prepare the ground
propagate plants
prune hedges and trees
prune plants
put up signs
transport physical resources within the work area
use gardening equipment
work in outdoor conditions","Skilled agricultural, forestry and fishery workers",Market-oriented skilled agricultural workers,Market gardeners and crop growers,"Gardeners, horticultural and nursery growers",landscape gardener
garden labourer,"grow plants
handling chemical products for soil and plants
maintain ground
maintain plant health
maintain plant soil nutrition
maintain plants' growth
maintain turf and grass
nurse plants
operate hand pruning equipment
operate turf management equipment
plant according to guidelines
plant green plants
prepare planting area
prepare sites for planting of grass
prepare the ground
propagate plants
prune hedges and trees
prune plants
use gardening equipment
work in outdoor conditions",Elementary occupations,"Agricultural, forestry and fishery labourers","Agricultural, forestry and fishery labourers",Garden and horticultural labourers,garden labourer
flower and garden shop manager,"adhere to organisational guidelines
advise customers on types of flowers
apply health and safety standards
create flower arrangements
ensure client orientation
ensure compliance with purchasing and contracting regulations
ensure correct goods labelling
handle sensitive products
maintain relationship with customers
maintain relationship with suppliers
manage budgets
manage staff
manage theft prevention
maximise sales revenues
measure customer feedback
monitor customer service
negotiate buying conditions
negotiate sales contracts
obtain relevant licenses
order supplies
oversee promotional sales prices
perform procurement processes
place orders for flower products
recruit employees
set sales goals
set up pricing strategies
study sales levels of products
supervise merchandise displays
use different communication channels",Managers,"Hospitality, retail and other services managers",Retail and wholesale trade managers,Retail and wholesale trade managers,shop manager
computer hardware engineering technician,"adjust engineering designs
align components
assemble hardware components
assist scientific research
fasten components
inspect quality of products
interpret circuit diagrams
liaise with engineers
meet deadlines
prepare production prototypes
read assembly drawings
read engineering drawings
record test data
test hardware
use ICT hardware",Technicians and associate professionals,Science and engineering associate professionals,Physical and engineering science technicians,Electronics engineering technicians,electronics engineering technician
computer hardware test technician,"analyse test data
communicate test results to other departments
conduct quality control analysis
ensure conformity to specifications
inspect quality of products
interpret circuit diagrams
measure electrical characteristics
meet deadlines
read assembly drawings
read engineering drawings
read standard blueprints
test hardware
use measurement instruments
use testing equipment",Technicians and associate professionals,Science and engineering associate professionals,Physical and engineering science technicians,Electronics engineering technicians,electronics engineering technician
motor vehicle body assembler,"align components
apply health and safety standards
assemble metal parts
fasten components
inspect quality of products
mark processed workpiece
read engineering drawings
read standard blueprints
troubleshoot
use technical documentation
wear appropriate protective gear
work in assembly line teams",Plant and machine operators and assemblers,Assemblers,Assemblers,Mechanical machinery assemblers,motor vehicle assembler
sport facility manager,"contribute to the development of a sporting estate
coordinate events
ensure health and safety of customers
ensure health and safety of staff
handle customer complaints
handle incidents
implement operational business plans
implement strategic planning
involve volunteers
lead a team
manage a team
manage customer service
manage personal professional development in sport
manage physical resources
manage sport facility finances
organise facility activities
organise participation in local or international events
perform project management
promote equality in sport activities
promote healthy fitness environment
provide first aid
recruit employees
supervise maintenance of sport facilities",Managers,"Hospitality, retail and other services managers",Other services managers,"Sports, recreation and cultural centre managers",sport facility manager
gate guard,"check official documents
check tickets at venue entry
conduct security screenings
ensure public safety and security
identify security threats
maintain incident reporting records
manage major incidents
manage theft prevention
monitor guest access
operate control panels
perform security checks
practice vigilance
work in shifts",Service and sales workers,Protective services workers,Protective services workers,Security guards,security guard
spa manager,"analyse goal progress
create solutions to problems
develop recreation programmes
develop revenue generation strategies
discharge employees
ensure infrastructure accessibility
establish daily priorities
follow company standards
guarantee customer satisfaction
handle customer complaints
identify customer's needs
inform customers of activity changes
keep up to date with spa products
lead a team
liaise with local authorities
liaise with managers
manage budgets
manage customer service
manage health and safety standards
manage logistics
manage recreational facility
manage staff
manage supplies
meet picking standards
oversee spa maintenance
plan shifts of employees
plan spa services
produce sales reports
promote recreation activities
recruit employees
represent the organisation
respond to customers' inquiries
schedule recreation facilities
set organisational policies
supervise daily information operations
supervise the management of an establishment
supervise work
train employees",Managers,"Hospitality, retail and other services managers",Other services managers,"Sports, recreation and cultural centre managers",recreational facilities manager
property assistant,"administer appointments
collect property financial information
communicate by telephone
communicate with customers
fix meetings
handle financial transactions
identify customer's needs
inform on renting agreements
maintain records of financial transactions
obtain financial information
organise business documents
perform office routine activities
prepare inventory of properties
process commissioned instructions
provide information on properties
use office systems",Clerical support workers,Numerical and material recording clerks,Numerical clerks,"Statistical, finance and insurance clerks",property assistant
branch manager,"abide by business ethical code of conducts
align efforts towards business development
analyse business plans
analyse business processes
analyse financial risk
apply business acumen
assume responsibility for the management of a business
collaborate in company's daily operations
conclude business agreements
control financial resources
create a financial plan
create a work atmosphere of continuous improvement
develop business plans
develop company strategies
develop revenue generation strategies
ensure lawful business operations
evaluate performance of organisational collaborators
execute marketing plan
exercise stewardship
follow company standards
follow the statutory obligations
impart business plans to collaborators
integrate headquarter's guidelines into local operations
integrate strategic foundation in daily performance
liaise with managers
make strategic business decisions
manage office facility systems
manage staff
negotiate with stakeholders
organise participation in local or international events
plan medium to long term objectives
recruit employees
report on overall management of a business
strive for company growth
synthesise financial information
track key performance indicators",Managers,Administrative and commercial managers,Business services and administration managers,Policy and planning managers,business manager
